Custom Boiling Temperature to Elevation Conversion Table

    Altitude(ft)        Boiling Temp (degF)
       00000                  212.01       
       01000                  210.22       
       02000                  208.43       
       03000                  206.62       
       04000                  204.80       
       05000                  202.97       
       06000                  201.12       
       07000                  199.26       
       08000                  197.39       
       09000                  195.50       
       10000                  193.60       
       11000                  191.69       
       12000                  189.76       
       13000                  187.81       
       14000                  185.86       
       15000                  183.88       
       16000                  181.89       
       17000                  179.89       
       18000                  177.87       
       19000                  175.84       
       20000                  173.78       
       21000                  171.72       
       22000                  169.63       
       23000                  167.53       
       24000                  165.41       
       25000                  163.27       
       26000                  161.12       
       27000                  158.95       
       28000                  156.76       
       29000                  154.55       
       30000                  152.32       
       31000                  150.07       
       32000                  147.80       
       33000                  145.52       
       34000                  143.21       
       35000                  140.88       
       36000                  138.53       
       37000                  136.16       
       38000                  133.76       
       39000                  131.35       
       40000                  128.91       
       41000                  126.45       
       42000                  123.96       
       43000                  121.45       
       44000                  118.92       
       45000                  116.36       
       46000                  113.77       
       47000                  111.16       
       48000                  108.52       
       49000                  105.86       
       50000                  103.17       
